"gene_symbol","GSE5099_logFC","GSE5099_moderated_t","GSE11864_logFC","GSE11864_moderated_t","action","reason"
"LINC00323",-0.112933351333333,-2.04936103829208,0.21640038612545,0.184351139759501,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00324",-0.353642603333332,-2.84850985783124,1.90862173606258,10.8584161997572,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00327",-0.114852815333332,-1.2359752118567,0.419009659949195,0.505691841134353,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00334",-0.00990210666666548,-0.10566992440126,0.314332565197421,0.384292439744478,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00454",0.109853466666667,1.12657512249224,-0.0703400935666656,-0.0791663334887716,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00458",-8.76653333319684e-05,-0.00103214657551873,0.314363060156987,0.359390271209838,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00466",0.0257458680000009,0.285144076863518,-1.11506822652077,-1.95537741541334,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00470",-0.078520503833333,-1.12971596967912,0.0615124417098132,0.0775643846378893,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00472",0.156780290000001,2.30857801376146,-1.40898110751498,-1.4382591180184,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00487",0.015095720000001,0.193473184405648,-2.21352907270412,-2.45537053550258,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00543",-0.021821669,-0.238201630831727,1.02618453770463,1.05234605495786,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00544",-0.002829782333332,-0.0272011092117411,0.698587650552828,0.743711555645683,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00563",-0.105639595999999,-0.911076353958208,0.0152978802276488,0.0235206220786736,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00574",-0.143807132333332,-0.783028100432521,0.589522665283016,0.866686659419561,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00582",0.0565097290000003,0.640729072263184,-0.901523244690247,-1.21194560839141,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00598",-0.201316074666667,-1.68764931130583,0.260964389673631,0.319297547029536,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00626",-0.0707938746666657,-0.903431893911204,2.51753622394574,2.42597867098275,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00629",0.0597957056666673,0.874579778601883,-0.264319958698778,-0.404164427610197,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00654",-0.0781298549999997,-0.788796453971116,2.86986139841177,4.42330926219755,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
