gene_set,source,gene
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,BCAP31
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,LY86
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ANXA4
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,IQGAP2
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,CYSTM1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,RENBP
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,KLHL6
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ZNF704
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,AP1B1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,TMEM37
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,TLR4
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ZNF331
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ME1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,BBS2
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,TESK2
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,CDCA7L
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,DPY30
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,MARCKS
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,COL23A1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ZKSCAN4
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,DEGS1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,VEGFB
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,G0S2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,TREM1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,S100A12
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,VCAN
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,DUSP2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,NRGN
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CFP
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,PMAIP1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,FYN
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,ICAM3
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,BTG2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,MYO1G
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CRIP1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,NAMPT
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,PLAC8
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,HCAR3
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,VASP
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,STK17B
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,S100A9
